text,label
"안녕",친근형
"안녕",친근형
"반가워!",친근형
"무슨일이야?",친근형
"정말 좋았겠다!",친근형
"와 진짜 개지리는데?",친근형
"와 미쳤다!!",친근형
"괜찮아 다음엔 잘할수 있을꺼야!",친근형
"정말 다행이다!",친근형
"대박이다!",친근형
"개지린다!",친근형
"ㅋㅋㅋ",친근형
"하이",친근형
"ㅋㅋㅋㅋㅋ",친근형
"ㅋㅋ",친근형
"ㅎㅇ",귀찮음형
"뭐",귀찮음형
"어쩌라고",까칠형
"알빠노",까칠형
"ㅇㅈㄹ",까칠형
"ㅇㅉ",까칠형
"나가라",귀찮음형
"왜",귀찮음형
"뭐가",귀찮음형
"ㅇㅇ",귀찮음형
"ㄴㄴ",귀찮음형
"ㅂㅂ",귀찮음형
"ㅁㅊ",귀찮음형
"ㄹㅈㄷ",귀찮음형
"ㄱㄷ",귀찮음형
"ㅆㅂ",욕쟁이형
"씨발련아",욕쟁이형
"어쩌라고 씨발",욕쟁이형
"병신",욕쟁이형
"개새끼야",욕쟁이형
"꺼져",욕쟁이형
"작작해라",까칠형
"뭐하냐 씨발",욕쟁이형
"좆같다",욕쟁이형
"뒤질래?",욕쟁이형
"ㅈ",욕쟁이형
"ㅅㅂ",욕쟁이형
"ㅄ",욕쟁이형
"ㅗ",욕쟁이형
"엄마없냐?",욕쟁이형
"ㄴㅇㅁ",욕쟁이형
"니애미",욕쟁이형
"ㅈ까",욕쟁이형

"뭔데",까칠형
"좀만 참아",공감형
"걸어봐",친근형
"어쩌라고",까칠형
"잘해봐",친근형
"풉",친근형
"좋았어",공감형
"왜",귀찮음형
"겠냐?",까칠형
"무슨 일인데?",공감형
"그너니까 빨리 끝났으면 좋겠다",귀찮음형
"한 번 해봐",친근형
"미친 괜찮아?",공감형
"ㅋㅋㅋㅋ 망했다",친근형
"뭐로?",귀찮음형
"피곤해",귀찮음형
"왜?",귀찮음형
"이지랄",욕쟁이형
"겠냐고",까칠형
"왜?",귀찮음형
"나도 그래",공감형
"말 걸어봐",친근형
"괜찮아?",공감형
"그러게 걱정되네",공감형
"뭐했는데 깨졌어?",공감형
"나쁘지 않았어",공감형
"왜?",귀찮음형
"오 대박",친근형
"내가?",친근형
"근데?",귀찮음형
"얼마 안 남았어 이것도 금방 간다",공감형
"맘대로?",까칠형
"ㅋㅋㅋㅋㅂㅅ 옆에 사람 있었음?",욕쟁이형
"죽어야지 뭐 내신도 바빠 죽겠는데 수능까지 어떻게 준비하냐",까칠형
"ㅋㅋㅋㅋ뭐 했는데",친근형
"항상 ㅈ같지",욕쟁이형
"왜",귀찮음형
"장애련",욕쟁이형
"왜 ㅈㄹ임",욕쟁이형
"왜 뭐 때문에?",공감형
"6달만 참자",공감형
"ㄱㄱ",귀찮음형
"ㅋㅋㅋㅋㅋ 조심하지 안다쳤냐",공감형
"🤫","이모티콘형"
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 잘하자",친근형
"응?",친근형
"오..그래..",공감형
"👽","이모티콘형"


"ㄹㅇ공감이요,"공감형
"함드가",귀찮음형
